,mean_corr,median_corr,std_corr,abs_mean_corr
sensor_11,0.7828599308151666,0.7825502434765208,0.04829445579673078,0.7828599308151666
sensor_4,0.7274509371464444,0.729436197826048,0.051723976092887126,0.7274509371464444
sensor_17,0.6478346744314625,0.6596612330840355,0.05750155004107515,0.6478346744314625
sensor_3,0.6192042577933197,0.6280791599706519,0.06294237477518773,0.6192042577933197
sensor_9,0.5820879445020557,0.8153681360871651,0.44406193435293784,0.5820879445020557
sensor_2,0.569025363607358,0.5629113711703575,0.08622417700901472,0.569025363607358
sensor_13,0.5453758340755702,0.71275351444501,0.3276970743204207,0.5453758340755702
sensor_8,0.5443232207589552,0.7076585090710529,0.3280584424189521,0.5443232207589552
sensor_14,0.4872805663082991,0.8148902796426726,0.5605726843162688,0.4872805663082991
sensor_16,0.21002942580851278,0.20941329231988012,0.061353789148547305,0.21002942580851278
sensor_10,0.19523609174204345,-0.03034034741153853,0.37684249575150525,0.19523609174204345
sensor_15,0.11625305835210092,0.6760265746254951,0.7436711692170729,0.11625305835210092
sensor_6,0.09717787382480776,0.24778783753544786,0.3644712543146938,0.09717787382480776
sensor_7,0.0642503747251305,-0.3335202572376569,0.6148464547327378,0.0642503747251305
sensor_21,-0.05907825160999362,-0.36022393839868094,0.4684663658979594,0.05907825160999362
sensor_20,-0.0571525987505463,-0.37291068911299174,0.46894184771455033,0.0571525987505463
sensor_12,0.047745063982730714,-0.367470243492439,0.6382907747093681,0.047745063982730714
setting_2,-0.006319109768148883,-0.00607406806865728,0.06826463921000409,0.006319109768148883
setting_1,0.0006114873546920393,0.005499634866858965,0.06518851174223984,0.0006114873546920393
sensor_1,8.397051399076442e-05,-0.003426248596453083,0.06548367370356009,8.397051399076442e-05
setting_3,,,,
sensor_5,,,,
sensor_18,,,,
sensor_19,,,,
