,mean_corr,median_corr,std_corr,abs_mean_corr
sensor_16,0.0779463073968166,0.07647665273303494,0.0730413893998116,0.0779463073968166
sensor_11,0.04988601375698195,0.051545425783961915,0.06545692719136666,0.04988601375698195
sensor_14,0.048299664278032374,0.03551857800057254,0.11697981288887771,0.048299664278032374
sensor_4,0.043373896377581496,0.0498560197069807,0.06876700309923772,0.043373896377581496
sensor_15,0.03975985694342706,0.03987269859741391,0.06491338631453904,0.03975985694342706
sensor_17,0.028972570061500686,0.03378055393487038,0.06825105332311392,0.028972570061500686
sensor_3,0.028647855704997713,0.034772026625730854,0.06814052532332637,0.028647855704997713
sensor_9,0.017696429154332935,0.024088288099339147,0.07460252627055358,0.017696429154332935
sensor_20,-0.006925421624045292,-0.008832345589196329,0.0716947375973849,0.006925421624045292
sensor_21,-0.006802400393074121,-0.008378008717535185,0.07181527136265144,0.006802400393074121
sensor_2,0.005449473056972356,0.0043110332369093556,0.06988448277242866,0.005449473056972356
sensor_19,-0.005188533454844688,-0.008520081105556254,0.06525868494347255,0.005188533454844688
setting_3,-0.005188533454844685,-0.00852008110555624,0.06525868494347255,0.005188533454844685
sensor_13,-0.004615032603191739,-0.007599716312053322,0.06525518855791206,0.004615032603191739
sensor_10,-0.004220811421680695,-0.0007861581554213548,0.06958948222309828,0.004220811421680695
sensor_18,-0.004220159712555099,-0.003932073510535104,0.06495739379061892,0.004220159712555099
sensor_8,-0.0037363298284586875,-0.002803921708551808,0.06498279798833588,0.0037363298284586875
sensor_7,-0.0028219874842356843,-0.0033275286307839383,0.0713627206846025,0.0028219874842356843
sensor_12,-0.002625036264524216,-0.0030373841737505835,0.07133180908055481,0.002625036264524216
setting_2,0.00039548532689720944,-0.0019976799302761916,0.07297507581219694,0.00039548532689720944
setting_1,-0.0003618012524424448,0.004050110755631581,0.07412787757470626,0.0003618012524424448
sensor_5,0.00016622180050394577,-0.0015409837385933348,0.0730266187703694,0.00016622180050394577
sensor_1,-0.0001364352959072198,-0.0014584943265656693,0.07267087732055787,0.0001364352959072198
sensor_6,3.5787988158802595e-05,0.0009092888588557771,0.07239117520036073,3.5787988158802595e-05
