,mean_corr,median_corr,std_corr,abs_mean_corr
sensor_11,0.7907323900200366,0.7982523061182716,0.05408433021203241,0.7907323900200366
sensor_8,0.755485951173557,0.8010511065738054,0.12008644691424504,0.755485951173557
sensor_4,0.7553518580668961,0.7581950926143495,0.06370415766086536,0.7553518580668961
sensor_13,0.7532843386946589,0.8055631744436778,0.12931919473389844,0.7532843386946589
sensor_17,0.6929882098808565,0.6975452440514166,0.048420212368089785,0.6929882098808565
sensor_3,0.6542616279830482,0.6590523984763534,0.04540339956510865,0.6542616279830482
sensor_2,0.6511453443105399,0.6493966700306788,0.06753617172319366,0.6511453443105399
sensor_9,0.5592571617679382,0.8256938548162727,0.5078681388226831,0.5592571617679382
sensor_14,0.4626988190256121,0.8251623206420213,0.6116230052061676,0.4626988190256121
sensor_10,0.37899800617164325,0.6144268303541595,0.34866936144677724,0.37899800617164325
sensor_20,-0.08852856434874078,-0.6459413501556228,0.7116132635513801,0.08852856434874078
sensor_21,-0.08464340897519573,-0.6340661542277546,0.7131723186624309,0.08464340897519573
sensor_12,-0.07466804090352523,-0.7425430026191419,0.8213721991408623,0.07466804090352523
sensor_15,0.06716215484038679,0.67127843985053,0.7522761232872155,0.06716215484038679
sensor_7,-0.061414378844373604,-0.7118594767498816,0.8090807768449886,0.061414378844373604
sensor_6,-0.03272552764296146,0.07449580767196928,0.32242120105740885,0.03272552764296146
setting_2,0.0045705655667472546,0.003522850160079155,0.07237694087743861,0.0045705655667472546
setting_1,-0.004053396380480948,0.00012701864524950287,0.06633291887379392,0.004053396380480948
