,mean_corr,median_corr,std_corr,abs_mean_corr
sensor_2,0.6752756106641428,0.6829715927577136,0.059758074589804464,0.6752756106641428
sensor_3,0.6439503481802927,0.6540142539456923,0.057739245438581194,0.6439503481802927
sensor_4,0.7816136711112748,0.7903560496577942,0.038111974332322544,0.7816136711112748
sensor_6,0.0954139625114002,0.08669599943934968,0.08959588417179336,0.0954139625114002
sensor_7,-0.7615143940109727,-0.7830617257478483,0.05969360400364947,0.7615143940109727
sensor_8,0.683526241131408,0.7776091104338919,0.19314855437372805,0.683526241131408
sensor_9,0.38595548514739414,0.7466350895515604,0.5700835392353032,0.38595548514739414
sensor_11,0.8106012169818558,0.8163412063185582,0.039929387515441464,0.8106012169818558
sensor_12,-0.78966224936546,-0.8105736080780177,0.05294220616296599,0.78966224936546
sensor_13,0.6873161247995505,0.7742059532940304,0.1901904969165648,0.6873161247995505
sensor_14,0.2235038612172007,0.6703253758398702,0.6887773587373626,0.2235038612172007
sensor_15,0.7248441832436676,0.7349573088531596,0.049735140407497484,0.7248441832436676
sensor_17,0.6731228647815104,0.6806303464574456,0.05617872247423338,0.6731228647815104
sensor_20,-0.71411980953092,-0.7173823570594151,0.052638015029510765,0.71411980953092
sensor_21,-0.716709609281441,-0.7303436809210092,0.05196843943252032,0.716709609281441
